college,department,name,role,profile,namelast,namefirst,identifier1,identifier2
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Alessandro Lanfranchi,Lecturer in Geology,https://emps.exeter.ac.uk/csm/staff/al834,Lanfranchi,Alessandro,"Lanfranchi, A","Lanfranchi, Alessandro"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Kate Littler,Senior Lecturer in Geology,https://emps.exeter.ac.uk/csm/staff/kl334,Littler,Kate,"Littler, K","Littler, Kate"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Lewis Meyer,Senior Lecturer in Mining Engineering,https://emps.exeter.ac.uk/csm/staff/lhim201,Meyer,Lewis,"Meyer, L","Meyer, Lewis"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Kathryn Moore,Senior Lecturer in Critical and Green Technology Metals,https://emps.exeter.ac.uk/csm/staff/km380,Moore,Kathryn,"Moore, K","Moore, Kathryn"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Laura Newsome,Senior Lecturer in Applied Geomicrobiology,https://emps.exeter.ac.uk/csm/staff/ln306,Newsome,Laura,"Newsome, L","Newsome, Laura"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Professor Robin  Shail,Associate Professor of Geology ,https://emps.exeter.ac.uk/csm/staff/rshail,Shail,Robin,"Shail, R","Shail, Robin"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Benedikt Steiner,Senior Lecturer and MSc Programme Director in Exploration and Mining Geology,https://emps.exeter.ac.uk/csm/staff/bs379,Steiner,Benedikt,"Steiner, B","Steiner, Benedikt"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Clemens Vinzenz Ullmann,Proleptic Lecturer,https://emps.exeter.ac.uk/csm/staff/cu211,Ullmann,Clemens,"Ullmann, C","Ullmann, Clemens"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Declan Vogt,Lecturer in Robotics and Automated Mining,https://emps.exeter.ac.uk/csm/staff/drv201,Vogt,Declan,"Vogt, D","Vogt, Declan"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Professor Frances Wall,Professor of Applied Mineralogy ,https://emps.exeter.ac.uk/csm/staff/fw223,Wall,Frances,"Wall, F","Wall, Frances"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Dr Andrew Wetherelt,Programme Director and Senior Lecturer for BEng/MEng Mining Engineering ,https://emps.exeter.ac.uk/csm/staff/awethere,Wetherelt,Andrew,"Wetherelt, A","Wetherelt, Andrew"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines, Paul  Wheeler,Programme Director for MSc Mining Engineering; MSc Applied  Geotechnics and MSc Geotechnical Engineering. Senior Lecturer in Mining,https://emps.exeter.ac.uk/csm/staff/pw283,Wheeler,Paul,"Wheeler, P","Wheeler, Paul"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines,Professor Ben Williamson,Associate Professor in Applied Mineralogy,https://emps.exeter.ac.uk/csm/staff/bjw207,Williamson,Ben,"Williamson, B","Williamson, Ben"
"College of Engineering, Mathematics and Physical Sciences",Camborne School of Mines, Neill  Wood,Programme Director for MSc Surveying and Land/Environmental Management,https://emps.exeter.ac.uk/csm/staff/naw201,Wood,Neill,"Wood, N","Wood, Neill"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Khulood Alyahya,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/ka360,Alyahya,Khulood,"Alyahya, K","Alyahya, Khulood"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Rudy Arthur,Lecturer in Data Science,https://emps.exeter.ac.uk/computer-science/staff/ra414,Arthur,Rudy,"Arthur, R","Arthur, Rudy"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Hugo Barbosa,Lecturer in Human Dynamics and Urban Systems,https://emps.exeter.ac.uk/computer-science/staff/hs613,Barbosa,Hugo,"Barbosa, H","Barbosa, Hugo"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Ruth Beckley,University Mentor,https://emps.exeter.ac.uk/computer-science/staff/rb754,Beckley,Ruth,"Beckley, R","Beckley, Ruth"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Federico Botta,Lecturer in Data Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/fb394,Botta,Federico,"Botta, F","Botta, Federico"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Achim D. Brucker,Chair in Cybersecurity,https://emps.exeter.ac.uk/computer-science/staff/ab1185,Brucker,Achim,"Brucker, A","Brucker, Achim"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Chico Camargo,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/fc410,Camargo,Chico,"Camargo, C","Camargo, Chico"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Avik Chakraborti,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/ac1161,Chakraborti,Avik,"Chakraborti, A","Chakraborti, Avik"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Jacqueline Christmas,Associate Professor of Machine Learning (E&R),https://emps.exeter.ac.uk/computer-science/staff/jtc202,Christmas,Jacqueline,"Christmas, J","Christmas, Jacqueline"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Edward Chuah,Lecturer in Computer Science,https://emps.exeter.ac.uk/computer-science/staff/tc653,Chuah,Edward,"Chuah, E","Chuah, Edward"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Tinkle Chugh,Lecturer (E&R),https://emps.exeter.ac.uk/computer-science/staff/tc489,Chugh,Tinkle,"Chugh, T","Chugh, Tinkle"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Albert Chung,,https://emps.exeter.ac.uk/computer-science/staff/cac237,Chung,Albert,"Chung, A","Chung, Albert"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Matt Collison,Lecturer (E&S),https://emps.exeter.ac.uk/computer-science/staff/mmc212,Collison,Matt,"Collison, M","Collison, Matt"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Fabrizio Costa,Senior Lecturer in Data Analytics,https://emps.exeter.ac.uk/computer-science/staff/fc334,Costa,Fabrizio,"Costa, F","Costa, Fabrizio"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Sophie Cowie,Academic Mentor/Associate Lecturer,https://emps.exeter.ac.uk/computer-science/staff/smc225,Cowie,Sophie,"Cowie, S","Cowie, Sophie"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Dave Dann,Associate Lecturer,https://emps.exeter.ac.uk/computer-science/staff/dd337,Dann,Dave,"Dann, D","Dann, Dave"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Riccardo Di Clemente,Lecturer in Data Science,https://emps.exeter.ac.uk/computer-science/staff/rd497,Clemente,Riccardo,"Clemente, R","Clemente, Riccardo"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Anjan Dutta,Lecturer in Computer Vision and Machine Learning (E&R),https://emps.exeter.ac.uk/computer-science/staff/ad735,Dutta,Anjan,"Dutta, A","Dutta, Anjan"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Huw Evans,Senior Lecturer in Computer Science,https://emps.exeter.ac.uk/computer-science/staff/hme208,Evans,Huw,"Evans, H","Evans, Huw"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Richard Everson,Professor of Machine Learning,https://emps.exeter.ac.uk/computer-science/staff/reverson,Everson,Richard,"Everson, R","Everson, Richard"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Jonathan Fieldsend,Professor in Computational Intelligence,https://emps.exeter.ac.uk/computer-science/staff/jefields,Fieldsend,Jonathan,"Fieldsend, J","Fieldsend, Jonathan"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Dan Hallam,Associate Lecturer,https://emps.exeter.ac.uk/computer-science/staff/dh506,Hallam,Dan,"Hallam, D","Hallam, Dan"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Ayah Helal,,https://emps.exeter.ac.uk/computer-science/staff/ahh209,Helal,Ayah,"Helal, A","Helal, Ayah"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Jia Hu,Senior Lecturer in Computer Science,https://emps.exeter.ac.uk/computer-science/staff/jh815,Hu,Jia,"Hu, J","Hu, Jia"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Avon Huxor,Associate Lecturer,https://emps.exeter.ac.uk/computer-science/staff/ah950,Huxor,Avon,"Huxor, A","Huxor, Avon"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Edward Keedwell,Professor of Artificial Intelligence,https://emps.exeter.ac.uk/computer-science/staff/eckeedwe,Keedwell,Edward,"Keedwell, E","Keedwell, Edward"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Chunbo Luo,Senior Lecturer in Computer Science,https://emps.exeter.ac.uk/computer-science/staff/cl535,Luo,Chunbo,"Luo, C","Luo, Chunbo"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Man Luo,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/ml795,Luo,Man,"Luo, M","Luo, Man"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Pikakshi Manchanda,Lecturer (E&S),https://emps.exeter.ac.uk/computer-science/staff/pm447,Manchanda,Pikakshi,"Manchanda, P","Manchanda, Pikakshi"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Diego Marmsoler,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/dm656,Marmsoler,Diego,"Marmsoler, D","Marmsoler, Diego"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Ronaldo Menezes,Professor of Data and Network Science,https://emps.exeter.ac.uk/computer-science/staff/rm660,Menezes,Ronaldo,"Menezes, R","Menezes, Ronaldo"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Geyong Min,Chair in High Performance Computing and Networking,https://emps.exeter.ac.uk/computer-science/staff/gm321,Min,Geyong,"Min, G","Min, Geyong"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Tessa Moore,University Mentor ,https://emps.exeter.ac.uk/computer-science/staff/tmm218,Moore,Tessa,"Moore, T","Moore, Tessa"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Alberto Moraglio,Senior Lecturer in Computer Science,https://emps.exeter.ac.uk/computer-science/staff/am666,Moraglio,Alberto,"Moraglio, A","Moraglio, Alberto"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Marcos Oliveira,Lecturer in City Science & Analytics ,https://emps.exeter.ac.uk/computer-science/staff/mao213,Oliveira,Marcos,"Oliveira, M","Oliveira, Marcos"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Diogo Pacheco,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/dp503,Pacheco,Diogo,"Pacheco, D","Pacheco, Diogo"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr James Penman,Lecturer (Education and Scholarship),https://emps.exeter.ac.uk/computer-science/staff/jp943,Penman,James,"Penman, J","Penman, James"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Alexander Richardson-Hall,"Lecturer, CS Director of Admissions",https://emps.exeter.ac.uk/computer-science/staff/adr213,Richardson-Hall,Alexander,"Richardson-Hall, A","Richardson-Hall, Alexander"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Anastasios (Tassos) Roussos,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/ar577,Roussos,Anastasios,"Roussos, A","Roussos, Anastasios"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Sareh Rowlands,Lecturer in Data Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/sr674,Rowlands,Sareh,"Rowlands, S","Rowlands, Sareh"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Wenjie Ruan,Senior Lecturer in Data Science,https://emps.exeter.ac.uk/computer-science/staff/wr260,Ruan,Wenjie,"Ruan, W","Ruan, Wenjie"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Vladimir Ryabov,Senior Lecturer,https://emps.exeter.ac.uk/computer-science/staff/vr270,Ryabov,Vladimir,"Ryabov, V","Ryabov, Vladimir"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Michael Saunby,Lecturer,https://emps.exeter.ac.uk/computer-science/staff/ms843,Saunby,Michael,"Saunby, M","Saunby, Michael"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Paul Shephard,Associate Lecturer - Academic Mentor,https://emps.exeter.ac.uk/computer-science/staff/pess201,Shephard,Paul,"Shephard, P","Shephard, Paul"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Massimo Stella,Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/ms1175,Stella,Massimo,"Stella, M","Stella, Massimo"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Victoria Thomas,Lecturer,https://emps.exeter.ac.uk/computer-science/staff/vt271,Thomas,Victoria,"Thomas, V","Thomas, Victoria"
"College of Engineering, Mathematics and Physical Sciences",Computer Science, Julian Vizor,University Mentor,https://emps.exeter.ac.uk/computer-science/staff/jjv208,Vizor,Julian,"Vizor, J","Vizor, Julian"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Johan Wahlström,Lecturer in Data Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/cw840,Wahlström,Johan,"Wahlström, J","Wahlström, Johan"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr David Wakeling,Senior Lecturer in Computer Science (E&S),https://emps.exeter.ac.uk/computer-science/staff/dw355,Wakeling,David,"Wakeling, D","Wakeling, David"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Zeliang Wang,Lecturer (E&S),https://emps.exeter.ac.uk/computer-science/staff/zw312,Wang,Zeliang,"Wang, Z","Wang, Zeliang"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Professor Hywel Williams,Associate Professor in Data Science,https://emps.exeter.ac.uk/computer-science/staff/htpw201,Williams,Hywel,"Williams, H","Williams, Hywel"
"College of Engineering, Mathematics and Physical Sciences",Computer Science,Dr Yulei Wu,Senior Lecturer in Computer Science (E&R),https://emps.exeter.ac.uk/computer-science/staff/yw433,Wu,Yulei,"Wu, Y","Wu, Yulei"
"College of Engineering, Mathematics and Physical Sciences",EMPS, Katie Salisbury,College Administrative Assistant,https://emps.exeter.ac.uk/staff/kks207,Salisbury,Katie,"Salisbury, K","Salisbury, Katie"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Konstantinos Agathos,Lecturer,https://emps.exeter.ac.uk/engineering/staff/ka447,Agathos,Konstantinos,"Agathos, K","Agathos, Konstantinos"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Mohammad Akrami ,"Lecturer in Mechanical Engineering (PhD, FHEA, PMP)",https://emps.exeter.ac.uk/engineering/staff/ma628,Akrami,Mohammad,"Akrami, M","Akrami, Mohammad"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Halim Alwi,Senior Lecturer,https://emps.exeter.ac.uk/engineering/staff/ha281,Alwi,Halim,"Alwi, H","Alwi, Halim"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Mustafa Aziz,Associate Professor in Electromagnetism,https://emps.exeter.ac.uk/engineering/staff/mmaziz,Aziz,Mustafa,"Aziz, M","Aziz, Mustafa"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Anna Baldycheva,Assistant Professor (Senior Lecturer) in Electronic Engineering  ,https://emps.exeter.ac.uk/engineering/staff/ab802,Baldycheva,Anna,"Baldycheva, A","Baldycheva, Anna"
"College of Engineering, Mathematics and Physical Sciences",Engineering, Hannah Barnard,Associate Lecturer in Natural Sciences and Postgraduate Researcher ,https://emps.exeter.ac.uk/engineering/staff/hb409,Barnard,Hannah,"Barnard, H","Barnard, Hannah"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Mike Belmont,Professor in Marine Dynamics,https://emps.exeter.ac.uk/engineering/staff/MRBelmon,Belmont,Mike,"Belmont, M","Belmont, Mike"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor James Brownjohn,Professor of Structural Dynamics,https://emps.exeter.ac.uk/engineering/staff/jb591,Brownjohn,James,"Brownjohn, J","Brownjohn, James"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor David Butler FREng,Head of Engineering,https://emps.exeter.ac.uk/engineering/staff/db242,FREng,David,"FREng, D","FREng, David"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Sean Carroll,Senior Lecturer in Structural Engineering,https://emps.exeter.ac.uk/engineering/staff/sc865,Carroll,Sean,"Carroll, S","Carroll, Sean"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Albert S. Chen,Associate Professor of Water and the Human Environment,https://emps.exeter.ac.uk/engineering/staff/asc208,Chen,Albert,"Chen, A","Chen, Albert"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Junning Chen,Senior Lecturer - Bioengineering (E&R),https://emps.exeter.ac.uk/engineering/staff/jc934,Chen,Junning,"Chen, J","Chen, Junning"
"College of Engineering, Mathematics and Physical Sciences",Engineering, Avalon Cory,Lecturer in Design and PBL,https://emps.exeter.ac.uk/engineering/staff/ac1072,Cory,Avalon,"Cory, A","Cory, Avalon"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Corrina Cory ,Senior Lecturer in Engineering and Entrepreneurship,https://emps.exeter.ac.uk/engineering/staff/cc828,Cory,Corrina,"Cory, C","Cory, Corrina"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Monica Craciun,Professor in Nanoscience and Nanotechnology,https://emps.exeter.ac.uk/engineering/staff/mfc204,Craciun,Monica,"Craciun, M","Craciun, Monica"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Mahdieh Dibaj,Lecturer in Engineering Management,https://emps.exeter.ac.uk/engineering/staff/md644,Dibaj,Mahdieh,"Dibaj, M","Dibaj, Mahdieh"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Slobodan Djordjevic,Professor of Hydraulic Engineering,https://emps.exeter.ac.uk/engineering/staff/sdjordje,Djordjevic,Slobodan,"Djordjevic, S","Djordjevic, Slobodan"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Kate Dunne,Lecturer (E&S),https://emps.exeter.ac.uk/engineering/staff/kd410,Dunne,Kate,"Dunne, K","Dunne, Kate"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Matt Eames,Senior Lecturer,https://emps.exeter.ac.uk/engineering/staff/py99mee,Eames,Matt,"Eames, M","Eames, Matt"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Christopher Edwards,Professor in Control Engineering,https://emps.exeter.ac.uk/engineering/staff/ce255,Edwards,Christopher,"Edwards, C","Edwards, Christopher"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Ken Evans,Professor of Materials Engineering ,https://emps.exeter.ac.uk/engineering/staff/keevans,Evans,Ken,"Evans, K","Evans, Ken"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Raziyeh Farmani,Professor of Water Engineering,https://emps.exeter.ac.uk/engineering/staff/rfarmani,Farmani,Raziyeh,"Farmani, R","Farmani, Raziyeh"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Guangtao Fu,Professor of Water Intelligence,https://emps.exeter.ac.uk/engineering/staff/gf213,Fu,Guangtao,"Fu, G","Fu, Guangtao"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Ahmad Galadanci,Lecturer in Civil & Structural Engineering (E&,https://emps.exeter.ac.uk/engineering/staff/asgg201,Galadanci,Ahmad,"Galadanci, A","Galadanci, Ahmad"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Oana Ghita,Professor in Materials and Manufacturing and Co-Director of Exeter Technologies Group,https://emps.exeter.ac.uk/engineering/staff/odumitre,Ghita,Oana,"Ghita, O","Ghita, Oana"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Naihui He,Lecturer in Engineering Management,https://emps.exeter.ac.uk/engineering/staff/nh231,He,Naihui,"He, N","He, Naihui"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Timothy Holsgrove,Senior Lecturer in Biomedical Engineering,https://emps.exeter.ac.uk/engineering/staff/th431,Holsgrove,Timothy,"Holsgrove, T","Holsgrove, Timothy"
"College of Engineering, Mathematics and Physical Sciences",Engineering, Ceri Howells,Lecturer in Engineering & Entrepreneurship,https://emps.exeter.ac.uk/engineering/staff/ch835,Howells,Ceri,"Howells, C","Howells, Ceri"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Gino Hrkac,Personal Chair in Applied theoretical and computational Solid-State Physics,https://emps.exeter.ac.uk/engineering/staff/gh303,Hrkac,Gino,"Hrkac, G","Hrkac, Gino"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Akbar Javadi FICE CEng,Professor of Geotechnical Engineering and Director,https://emps.exeter.ac.uk/engineering/staff/aajavadi,CEng,Akbar,"CEng, A","CEng, Akbar"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Lars Johanning,Deputy Head of Engineering,https://emps.exeter.ac.uk/renewable-energy/staff/lj233,Johanning,Lars,"Johanning, L","Johanning, Lars"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Nicola King,Associate Dean for Education,https://emps.exeter.ac.uk/engineering/staff/ncking,King,Nicola,"King, N","King, Nicola"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Ki Young Koo,Senior Lecturer,https://emps.exeter.ac.uk/engineering/staff/kyk203,Koo,Ki,"Koo, K","Koo, Ki"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Prakash Kripakaran,Senior Lecturer,https://emps.exeter.ac.uk/engineering/staff/pk257,Kripakaran,Prakash,"Kripakaran, P","Kripakaran, Prakash"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Yang Liu,Senior Lecturer,https://emps.exeter.ac.uk/engineering/staff/yl593,Liu,Yang,"Liu, Y","Liu, Yang"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Julian Mauricio Londono Monsalve,Lecturer in Mechanical Engineering (E&R),https://emps.exeter.ac.uk/engineering/staff/jl712,Monsalve,Julian,"Monsalve, J","Monsalve, Julian"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Martino Luis,Lecturer (E&R),https://emps.exeter.ac.uk/engineering/staff/ml615,Luis,Martino,"Luis, M","Luis, Martino"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Isaac Luxmoore,EPSRC-UKRI Innovation Fellow and Senior Lecturer,https://emps.exeter.ac.uk/engineering/staff/ijl203,Luxmoore,Isaac,"Luxmoore, I","Luxmoore, Isaac"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Maria Rosaria Marsico,Associate Professor of Structural Dynamics,https://emps.exeter.ac.uk/engineering/staff/mrm213,Marsico,Maria,"Marsico, M","Marsico, Maria"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Shanika Matharage,Lecturer in Smart Grid,https://emps.exeter.ac.uk/engineering/staff/bm464,Matharage,Shanika,"Matharage, S","Matharage, Shanika"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Peter Melville-Shreeve,Lecturer in Engineering & Entrepreneurship,https://emps.exeter.ac.uk/engineering/staff/pm391,Melville-Shreeve,Peter,"Melville-Shreeve, P","Melville-Shreeve, Peter"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Fayyaz Ali Memon,Professor of Sustainable Water Systems,https://emps.exeter.ac.uk/engineering/staff/fam203,Memon,Fayyaz,"Memon, F","Memon, Fayyaz"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr David Moxey,Senior Lecturer in Engineering (E&R),https://emps.exeter.ac.uk/engineering/staff/dm550,Moxey,David,"Moxey, D","Moxey, David"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Geoffrey Nash,Director of Natural Sciences,https://emps.exeter.ac.uk/engineering/staff/grn201,Nash,Geoffrey,"Nash, G","Nash, Geoffrey"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Ana Neves,Senior Lecturer in Materials Engineering,https://emps.exeter.ac.uk/engineering/staff/an359,Neves,Ana,"Neves, A","Neves, Ana"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Anna Katharina Ott,Lecturer,https://emps.exeter.ac.uk/engineering/staff/ao390,Ott,Anna,"Ott, A","Ott, Anna"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Prathyush P Menon,Associate Professor,https://emps.exeter.ac.uk/engineering/staff/pmp204,Menon,Prathyush,"Menon, P","Menon, Prathyush"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Evangelos Papatheou,Lecturer ,https://emps.exeter.ac.uk/engineering/staff/ep418,Papatheou,Evangelos,"Papatheou, E","Papatheou, Evangelos"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Aleksandar Pavic,Professor of Vibration Engineering,https://emps.exeter.ac.uk/engineering/staff/ap468,Pavic,Aleksandar,"Pavic, A","Pavic, Aleksandar"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr James Pearce,Associate Lecturer in Natural Sciences,https://emps.exeter.ac.uk/engineering/staff/jcp225,Pearce,James,"Pearce, J","Pearce, James"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Hussein Rappel,Lecturer in Computation Engineering,https://emps.exeter.ac.uk/engineering/staff/hr477,Rappel,Hussein,"Rappel, H","Rappel, Hussein"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Paul Reynolds,Professor of Structural Dynamics and Control,https://emps.exeter.ac.uk/engineering/staff/pr265,Reynolds,Paul,"Reynolds, P","Reynolds, Paul"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Gianmario Rinaldi,Lecturer (E&R),https://emps.exeter.ac.uk/engineering/staff/gr344,Rinaldi,Gianmario,"Rinaldi, G","Rinaldi, Gianmario"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Lalita Saharan,Lecturer in Engineering (E&R),https://emps.exeter.ac.uk/engineering/staff/ls455,Saharan,Lalita,"Saharan, L","Saharan, Lalita"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Dragan Savic,Professor of Hydroinformatics,https://emps.exeter.ac.uk/engineering/staff/dsavic,Savic,Dragan,"Savic, D","Savic, Dragan"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Dr Shuhang Shen,Lecturer in Smart Grid,https://emps.exeter.ac.uk/engineering/staff/ss1273,Shen,Shuhang,"Shen, S","Shen, Shuhang"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Christopher Smith,Professor of Mechanical Engineering,https://emps.exeter.ac.uk/engineering/staff/cwsmith,Smith,Christopher,"Smith, C","Smith, Christopher"
"College of Engineering, Mathematics and Physical Sciences",Engineering, Chnar Solae,Associate Lecturer/Academic Mentor CEDA (E&S),https://emps.exeter.ac.uk/engineering/staff/cs1039,Solae,Chnar,"Solae, C","Solae, Chnar"
"College of Engineering, Mathematics and Physical Sciences",Engineering, Charlie Statham,Senior Lecturer (E&S),https://emps.exeter.ac.uk/engineering/staff/cds222,Statham,Charlie,"Statham, C","Statham, Charlie"
"College of Engineering, Mathematics and Physical Sciences",Engineering,Professor Voicu Ion Sucala,Deputy Head of Engineering,https://emps.exeter.ac.uk/engineering/staff/is314,Sucala,Voicu,"Sucala, V","Sucala, Voicu"
